product_name,category,quantity,price,region
Shirt,Fashion,5,743,West
Watch,Electronics,2,1821,North
Tablet,Fashion,4,359,South
Laptop,Fashion,1,495,West
Jeans,Electronics,2,247,South
Headphones,Electronics,3,173,East
Phone,Fashion,1,185,East
Shirt,Fashion,2,1037,North
Phone,Electronics,4,1683,South
Tablet,Electronics,2,820,North
Jeans,Fashion,3,1098,South
Shoes,Electronics,3,1919,West
Watch,Electronics,4,412,North
Shirt,Electronics,4,1558,East
Phone,Fashion,2,1459,East
Speaker,Electronics,3,1305,South
Jeans,Fashion,2,610,South
Laptop,Fashion,2,1661,North
Jeans,Electronics,1,1295,North
Shirt,Electronics,1,1022,West
Headphones,Electronics,5,399,North
Camera,Electronics,4,969,East
Shoes,Fashion,2,1281,North
Shoes,Electronics,4,701,North
Camera,Electronics,1,310,South
Headphones,Electronics,4,664,East
Laptop,Electronics,5,1338,South
Shoes,Electronics,3,309,North
Camera,Electronics,2,1784,East
Watch,Fashion,1,1705,North
Jeans,Electronics,3,1006,South
Tablet,Fashion,1,342,South
Watch,Electronics,3,1829,North
Shoes,Fashion,3,1320,East
Headphones,Fashion,5,1079,East
Shoes,Fashion,5,217,West
Watch,Electronics,3,1294,West
Phone,Electronics,3,195,North
Phone,Electronics,2,183,South
Shirt,Fashion,2,816,West
Camera,Fashion,5,391,East
Tablet,Fashion,3,106,West
Laptop,Fashion,4,950,East
Shoes,Electronics,5,546,North
Jeans,Fashion,3,646,West
Watch,Electronics,4,517,South
Laptop,Fashion,3,1953,South
Camera,Fashion,2,1412,West
Headphones,Electronics,4,1028,East
Camera,Fashion,5,181,North
Jeans,Fashion,1,151,East
Headphones,Electronics,1,1552,West
Tablet,Fashion,4,1489,West
Jeans,Electronics,2,992,West
Headphones,Electronics,1,1504,South
Shoes,Fashion,3,528,South
Camera,Electronics,2,1092,North
Headphones,Electronics,1,1244,North
Shoes,Electronics,3,983,South
Jeans,Electronics,4,1218,South
Camera,Fashion,3,665,North
Speaker,Fashion,5,1563,East
Camera,Fashion,4,653,South
Headphones,Electronics,5,1948,West
Tablet,Electronics,4,215,East
Tablet,Electronics,4,539,West
Camera,Electronics,2,1506,East
Laptop,Fashion,4,1583,West
Headphones,Electronics,5,377,East
Camera,Electronics,1,1489,North
Phone,Fashion,5,140,East
Watch,Fashion,3,276,West
Speaker,Fashion,4,1547,West
Camera,Fashion,3,1106,West
Watch,Fashion,3,1820,East
Headphones,Fashion,1,1143,South
Laptop,Fashion,3,2000,North
Watch,Electronics,2,1662,South
Speaker,Electronics,4,1290,West
Headphones,Fashion,3,447,North
Shoes,Electronics,3,1323,East
Shirt,Fashion,2,1497,East
Phone,Fashion,5,913,South
Shoes,Electronics,3,110,East
Camera,Fashion,5,899,South
Phone,Electronics,4,1125,East
Shirt,Fashion,5,202,North
Tablet,Fashion,5,361,West
Jeans,Electronics,3,1651,North
Jeans,Electronics,1,1930,South
Tablet,Fashion,3,968,North
Watch,Fashion,3,303,South
Laptop,Electronics,5,1220,East
Tablet,Fashion,4,299,South
Shirt,Electronics,1,246,South
Tablet,Electronics,5,1219,South
Camera,Electronics,1,580,South
Headphones,Electronics,2,1267,West
Camera,Fashion,2,1531,South
Tablet,Fashion,3,1672,West
Phone,Fashion,2,646,North
Headphones,Electronics,3,1222,West
Shirt,Fashion,3,1392,North
Jeans,Electronics,2,484,East
Watch,Electronics,1,1712,West
Phone,Electronics,2,993,East
Speaker,Electronics,2,1298,West
Speaker,Fashion,5,1061,West
Headphones,Electronics,3,1111,West
Tablet,Electronics,3,539,South
Headphones,Electronics,2,1344,East
Tablet,Electronics,2,490,North
Shirt,Electronics,2,669,East
Shoes,Electronics,3,1966,South
Shirt,Electronics,1,577,South
Shirt,Electronics,3,326,South
Watch,Fashion,2,1803,West
Shirt,Electronics,2,229,East
Jeans,Electronics,1,1851,South
Camera,Fashion,3,1677,East
Tablet,Electronics,4,489,West
Watch,Electronics,1,1567,North
Phone,Electronics,2,1520,North
Laptop,Fashion,3,1822,North
Jeans,Fashion,1,1548,East
Watch,Fashion,1,1999,West
Shirt,Electronics,2,523,South
Laptop,Fashion,4,1953,West
Headphones,Electronics,5,1985,South
Laptop,Electronics,5,404,West
Laptop,Electronics,4,1529,East
Tablet,Fashion,4,1681,South
Camera,Electronics,4,1076,South
Camera,Fashion,3,218,East
Watch,Fashion,5,1706,West
Phone,Fashion,4,1913,North
Shoes,Electronics,5,1877,North
Watch,Fashion,5,239,West
Jeans,Fashion,2,481,West
Laptop,Electronics,2,775,North
Phone,Fashion,2,297,West
Shirt,Fashion,1,1784,North
Camera,Fashion,2,1299,South
Camera,Fashion,5,1500,South
Tablet,Electronics,3,997,West
Shoes,Electronics,4,1177,West
Speaker,Fashion,3,1085,East
Watch,Fashion,2,1882,North
Speaker,Electronics,5,1669,East
Laptop,Electronics,5,587,East
Laptop,Electronics,1,1691,South
Jeans,Electronics,3,529,South
Phone,Electronics,1,1936,East
Tablet,Fashion,3,400,North
Shoes,Electronics,3,1009,South
Shoes,Fashion,3,851,South
Headphones,Fashion,2,1068,South
Watch,Fashion,1,1901,South
Tablet,Electronics,4,1621,East
Speaker,Fashion,5,645,East
Watch,Fashion,4,147,North
Tablet,Electronics,1,305,East
Tablet,Electronics,4,1601,West
Camera,Fashion,4,806,South
Camera,Electronics,5,427,South
